date,venue,inning,team,target,over_1,over_2,over_3,over_4,over_5,over_6,runs,wickets
27/04/2008,Dr DY Patil Sports Academy,1,Mumbai Indians,0,6,8,1,3,4,5,27,3
27/04/2008,Dr DY Patil Sports Academy,2,Deccan Chargers,154,10,10,9,8,10,13,60,0
27/04/2008,"Punjab Cricket Association Stadium, Mohali",1,Delhi Daredevils,0,8,3,6,12,11,5,45,3
27/04/2008,"Punjab Cricket Association Stadium, Mohali",2,Kings XI Punjab,158,2,9,10,13,9,12,55,2
28/04/2008,M Chinnaswamy Stadium,1,Chennai Super Kings,0,1,10,7,4,3,11,36,1
28/04/2008,M Chinnaswamy Stadium,2,Royal Challengers Bangalore,178,6,6,1,7,12,13,45,1
29/04/2008,Eden Gardens,1,Kolkata Knight Riders,0,6,9,7,11,5,2,40,3
29/04/2008,Eden Gardens,2,Mumbai Indians,137,6,10,1,8,4,9,38,3
30/04/2008,Feroz Shah Kotla,1,Delhi Daredevils,0,3,14,10,18,8,5,58,1
30/04/2008,Feroz Shah Kotla,2,Royal Challengers Bangalore,191,7,10,10,15,6,7,55,3
01/05/2008,"Rajiv Gandhi International Stadium, Uppal",1,Deccan Chargers,0,6,10,10,4,8,12,50,1
01/05/2008,"Rajiv Gandhi International Stadium, Uppal",2,Kings XI Punjab,164,11,6,11,5,4,4,41,1
01/05/2008,Sawai Mansingh Stadium,1,Rajasthan Royals,0,5,6,10,5,12,7,45,1
01/05/2008,Sawai Mansingh Stadium,2,Kolkata Knight Riders,196,9,13,9,8,5,7,51,3
02/05/2008,"MA Chidambaram Stadium, Chepauk",1,Chennai Super Kings,0,4,7,2,15,9,10,47,1
02/05/2008,"MA Chidambaram Stadium, Chepauk",2,Delhi Daredevils,169,8,17,6,12,11,10,64,0
03/05/2008,"Punjab Cricket Association Stadium, Mohali",1,Kings XI Punjab,0,5,11,7,9,12,5,49,1
03/05/2008,"Punjab Cricket Association Stadium, Mohali",2,Kolkata Knight Riders,178,10,6,7,2,4,2,31,4
03/05/2008,M Chinnaswamy Stadium,1,Royal Challengers Bangalore,0,2,11,9,10,7,7,46,1
03/05/2008,M Chinnaswamy Stadium,2,Deccan Chargers,156,7,4,6,9,5,2,33,2
04/05/2008,Dr DY Patil Sports Academy,1,Mumbai Indians,0,5,9,3,9,9,15,50,2
04/05/2008,Dr DY Patil Sports Academy,2,Delhi Daredevils,162,2,2,2,16,7,8,37,2
04/05/2008,Sawai Mansingh Stadium,1,Chennai Super Kings,0,1,9,2,4,14,8,38,4
04/05/2008,Sawai Mansingh Stadium,2,Rajasthan Royals,109,0,6,8,10,10,10,44,0
05/05/2008,M Chinnaswamy Stadium,1,Royal Challengers Bangalore,0,1,6,4,4,4,7,26,3
05/05/2008,M Chinnaswamy Stadium,2,Kings XI Punjab,126,6,7,9,10,12,8,52,1
06/05/2008,"MA Chidambaram Stadium, Chepauk",1,Chennai Super Kings,0,4,6,4,7,10,3,34,3
06/05/2008,"MA Chidambaram Stadium, Chepauk",2,Deccan Chargers,144,3,1,11,9,6,20,50,1
07/05/2008,Dr DY Patil Sports Academy,1,Rajasthan Royals,0,5,7,9,5,5,17,48,2
07/05/2008,Dr DY Patil Sports Academy,2,Mumbai Indians,103,2,4,2,13,8,5,34,0
08/05/2008,Feroz Shah Kotla,1,Delhi Daredevils,0,7,12,11,9,6,5,50,2
08/05/2008,Feroz Shah Kotla,2,Chennai Super Kings,187,9,15,4,6,8,20,62,0
08/05/2008,Eden Gardens,1,Kolkata Knight Riders,0,2,7,10,6,11,5,41,2
08/05/2008,Eden Gardens,2,Royal Challengers Bangalore,129,4,5,8,2,13,3,35,2
09/05/2008,Sawai Mansingh Stadium,1,Deccan Chargers,0,8,5,12,4,12,9,50,0
09/05/2008,Sawai Mansingh Stadium,2,Rajasthan Royals,140,10,1,9,8,5,17,50,0
10/05/2008,"MA Chidambaram Stadium, Chepauk",1,Chennai Super Kings,0,12,8,2,5,11,15,53,2
10/05/2008,"MA Chidambaram Stadium, Chepauk",2,Kings XI Punjab,181,12,4,5,8,2,4,35,2
11/05/2008,"Rajiv Gandhi International Stadium, Uppal",1,Kolkata Knight Riders,0,6,2,11,9,5,10,43,1
11/05/2008,"Rajiv Gandhi International Stadium, Uppal",2,Deccan Chargers,204,5,6,6,10,14,14,55,3
